gw_site_id	county_code	well_log_nbr	gw_logid	well_tag_nbr	other_identity_id	other_identity_name	other_identity_description	download_date
14394	KLAM	1621	KLAM0001621		'423003121152601'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
15520	KLAM	1622	KLAM0001622		'423004121152801'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
15518	KLAM	1730	KLAM0001730		'422828122055801'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
14391	KLAM	1747	KLAM0001747		'422735122062301'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
15516	KLAM	1749	KLAM0001749		'422801122064001'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
15511	KLAM	1764	KLAM0001764		'422653122065301'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
15512	KLAM	1778	KLAM0001778		'422705122060501'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
15514	KLAM	1781	KLAM0001781		'422735122063001'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
15509	KLAM	1799	KLAM0001799		'422613122052501'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
15149	KLAM	1824	KLAM0001824		'422508122070601'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
6361	KLAM	1906	KLAM0001906		'422542121272001'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
183	KLAM	1945	KLAM0001945		'422733121261301'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
184	KLAM	1960	KLAM0001960		'422658121213601'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
185	KLAM	1962	KLAM0001962		'36S/11E-14DBC (Vieira)'	USGS SIR 2007-5050	Gannett, M.W., Lite, K.E. Jr., La Marche, J.L., Fisher, B.J., and Polette, D.J., 2007, Ground-Water Hydrology of the Upper Klamath Basin, Oregon and California: U.S. Geological Survey Scientific Investigations Report 2007-5050.	10/22/2024
185	KLAM	1962	KLAM0001962		'422645121224101'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
186	KLAM	1963	KLAM0001963		'422638121223501'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
187	KLAM	1965	KLAM0001965		'422649121235401'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
188	KLAM	1966	KLAM0001966		'422635121233901'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
189	KLAM	1976	KLAM0001976		'422633121261201'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
190	KLAM	1984	KLAM0001984	28540	'422617121265101'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
6362	KLAM	1992	KLAM0001992		'422518121253201'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
191	KLAM	1994	KLAM0001994		'422612121240201'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
192	KLAM	1997	KLAM0001997		'422607121222401'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
193	KLAM	1998	KLAM0001998		'422606121223701'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
194	KLAM	1999	KLAM0001999		'422614121224901'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
195	KLAM	2000	KLAM0002000		'422549121223001'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
196	KLAM	2001	KLAM0002001		'422546121222301'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
197	KLAM	2004	KLAM0002004		'422541121210001'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
198	KLAM	2005	KLAM0002005		'422629121210701'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
199	KLAM	2012	KLAM0002012		'422533121221201'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
200	KLAM	2014	KLAM0002014		'422520121230501'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
201	KLAM	2021	KLAM0002021		'36S/11E-35DCC (Hill)'	USGS SIR 2007-5050	Gannett, M.W., Lite, K.E. Jr., La Marche, J.L., Fisher, B.J., and Polette, D.J., 2007, Ground-Water Hydrology of the Upper Klamath Basin, Oregon and California: U.S. Geological Survey Scientific Investigations Report 2007-5050.	10/22/2024
201	KLAM	2021	KLAM0002021		'422400121223701'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
202	KLAM	2029	KLAM0002029		'422446121210901'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
14116	KLAM	2040	KLAM0002040		'36S/12E-4ddc'	OWRD GWR 021	Leonard, A.R., and Harris, A.B., 1974, Ground water in selected areas in the Klamath Basin, Oregon: State of Oregon, Ground Water Report No. 21.	10/22/2024
15158	KLAM	2043	KLAM0002043		'36W/12E-6cbd'	OWRD GWR 021	Leonard, A.R., and Harris, A.B., 1974, Ground water in selected areas in the Klamath Basin, Oregon: State of Oregon, Ground Water Report No. 21.	10/22/2024
15159	KLAM	2047	KLAM0002047		'36S/12E-8bbb'	OWRD GWR 021	Leonard, A.R., and Harris, A.B., 1974, Ground water in selected areas in the Klamath Basin, Oregon: State of Oregon, Ground Water Report No. 21.	10/22/2024
15160	KLAM	2050	KLAM0002050		'36S/12E-9BAA'	OWRD GWR 021	Leonard, A.R., and Harris, A.B., 1974, Ground water in selected areas in the Klamath Basin, Oregon: State of Oregon, Ground Water Report No. 21.	10/22/2024
20848	KLAM	2053	KLAM0002053		'36S/12E-10bbb'	OWRD GWR 021	Leonard, A.R., and Harris, A.B., 1974, Ground water in selected areas in the Klamath Basin, Oregon: State of Oregon, Ground Water Report No. 21.	10/22/2024
6383	KLAM	2059	KLAM0002059		'36S/12E-12dcc1'	OWRD GWR 021	Leonard, A.R., and Harris, A.B., 1974, Ground water in selected areas in the Klamath Basin, Oregon: State of Oregon, Ground Water Report No. 21.	10/22/2024
6384	KLAM	2063	KLAM0002063		'36S/12E-14ccb'	OWRD GWR 021	Leonard, A.R., and Harris, A.B., 1974, Ground water in selected areas in the Klamath Basin, Oregon: State of Oregon, Ground Water Report No. 21.	10/22/2024
6384	KLAM	2063	KLAM0002063		'36S/12E-1M1'	USGS OFR 58-73 KLAMATH	Newcomb, R.C., 1951, Preliminary report on the ground-water resources of the Klamath River basin, Oregon: U.S. Geological Survey Open-File Report 58-73.	10/22/2024
203	KLAM	2073	KLAM0002073		'36S/12E-16dcd'	OWRD GWR 021	Leonard, A.R., and Harris, A.B., 1974, Ground water in selected areas in the Klamath Basin, Oregon: State of Oregon, Ground Water Report No. 21.	10/22/2024
204	KLAM	2077	KLAM0002077		'422622121163201'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
205	KLAM	2078	KLAM0002078		'422621121163301'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
15163	KLAM	2081	KLAM0002081		'36S/12E-22bdb'	OWRD GWR 021	Leonard, A.R., and Harris, A.B., 1974, Ground water in selected areas in the Klamath Basin, Oregon: State of Oregon, Ground Water Report No. 21.	10/22/2024
206	KLAM	2090	KLAM0002090		'422511121213301'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
6363	KLAM	2096	KLAM0002096		'422508121161501'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
207	KLAM	2099	KLAM0002099		'422421121200201'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
209	KLAM	2108	KLAM0002108		'422442121163401'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
14395	KLAM	2129	KLAM0002129		'422542121072001'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
210	KLAM	2134	KLAM0002134		'422906121043801'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
211	KLAM	2135	KLAM0002135		'422755121054001'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
15515	KLAM	2136	KLAM0002136		'422758121023401'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
212	KLAM	2141	KLAM0002141		'422625121024201'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
213	KLAM	2145	KLAM0002145		'422507121002801'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
214	KLAM	2147	KLAM0002147		'422446121025701'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
